pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
2,Example_Files/Y.v10.txt,2325,6,62,4,6,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2403,6,52,4,7,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2412,6,58,4,6,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2414,6,52,4,6,11,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2465,6,52,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2495,6,52,4,6,15,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,2731,6,76,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3024,6,50,4,5,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3050,6,52,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3059,6,42,4,6,14,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3075,6,62,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3079,6,58,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3087,6,54,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3105,6,46,4,6,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3165,6,54,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3168,6,46,4,5,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3303,6,58,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3311,6,50,4,5,12,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3344,6,46,4,6,14,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3371,6,68,4,4,8,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3388,6,52,4,4,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3455,8,40,6,9,20,True,True,6,2,2,True,
1,Example_Files/Y.v10.txt,3456,10,30,9,13,26,True,True,9,1,1,True,2.0
1,Example_Files/Y.v10.txt,3457,10,30,9,12,24,True,True,9,1,1,True,2.0
1,Example_Files/Y.v10.txt,3458,10,30,9,12,24,True,True,9,1,1,True,2.0
2,Example_Files/Y.v10.txt,3459,7,41,5,9,20,True,True,5,2,2,True,
1,Example_Files/Y.v10.txt,3460,10,30,9,13,26,True,True,9,1,1,True,2.0
2,Example_Files/Y.v10.txt,3466,6,72,4,6,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3538,6,72,4,6,9,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3611,6,80,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3612,6,80,4,5,10,True,True,4,2,2,True,
2,Example_Files/Y.v10.txt,3729,7,44,5,12,27,True,True,5,2,2,True,
1,Example_Files/Y.v10.txt,3754,9,35,8,13,26,True,True,8,1,1,True,2.0
